English,Português
you,você
i,eu
the,o
to,para
a,a
s,é
it,isto
and,e
that,que
t,t
of,de
is,é
in,em
what,o que
we,nós
me,meu
this,esse
he,ele
for,para
my,meu
on,sobre
have,ter
your,seu
do,fazer
was,era
m,eu
no,não
not,não
be,ser
are,são
don,vestir
re,ré
know,saber
can,pode
with,com
but,mas
all,todos
so,então
just,apenas
there,lá
here,aqui
they,eles
like,como
ll,tudo
get,pegar
she,ela
go,ir
if,se
right,certo
out,fora
about,sobre
up,acima
at,no
him,ele
now,agora
oh,oh
one,um
come,vir
well,bem
her,dela
how,como
yeah,sim
ve,eu
will,vai
got,pegou
want,querer
think,pensar
as,como
see,ver
did,fez
good,bom
who,Quem
why,por que
from,de
let,deixar
his,dele
yes,sim
when,quando
going,indo
time,tempo
an,um
okay,OK
back,voltar
look,olhar
us,nós
would,seria
them,eles
where,onde
were,eram
take,pegar
then,então
had,tive
or,ou
been,estive
our,nosso
gonna,vai
tell,dizer
really,realmente
man,homem
some,alguns
say,dizer
hey,ei
could,poderia
d,d
didn,não
by,por
need,precisar
something,algo
has,tem
too,também
more,mais
way,caminho
down,abaixo
make,fazer
very,muito
never,nunca
only,apenas
people,pessoas
over,sobre
because,porque
little,pequeno
please,por favor
love,amor
should,deve
mean,significar
said,disse
sorry,desculpe
give,dar
off,desligado
am,sou
thank,agradecer
any,qualquer
two,dois
even,até
much,muito
doing,fazendo
sure,claro
thing,coisa
these,esses
help,ajuda
first,primeiro
into,em
anything,qualquer coisa
still,ainda
find,encontrar
life,vida
nothing,nada
sir,senhor
day,dia
god,Deus
work,trabalhar
their,deles
uh,uh
again,de novo
maybe,talvez
must,deve
before,antes
other,outro
wait,espere
stop,parar
call,chamar
after,depois
won,ganho
talk,falar
away,ausente
than,que
thought,pensamento
home,lar
night,noite
put,colocar
great,ótimo
those,aqueles
last,durar
better,melhorar
everything,tudo
told,contado
mr.,senhor.
new,novo
things,coisas
always,sempre
keep,manter
long,longo
years,anos
leave,deixar
does,faz
money,dinheiro
around,em volta
doesn,não
name,nome
place,lugar
ever,sempre
feel,sentir
guys,pessoal
father,pai
guy,cara
made,feito
